,playerName,shotQualityVsExpected,shots,goals,xGPerShot,totalxG,goalsPerShots,diffPerShot,goalsDiff,goalsAddedByShotQuality
0,Luis Diaz,0.004096610285377692,26,11,0.17307692307692307,4.5,0.4230769230769231,0.25,6.5,0.10651186741981998
1,Mohamed Salah,-0.0024664818853101025,94,36,0.21446808510638302,20.160000000000004,0.3829787234042553,0.1685106382978723,15.839999999999996,-0.23184929721914965
2,Darwin Nunez,-0.002802757574363119,24,10,0.16583333333333333,3.98,0.4166666666666667,0.25083333333333335,6.02,-0.06726618178471486
4,Diogo Jota,-0.0020128979369605313,13,6,0.2515384615384615,3.2699999999999996,0.46153846153846156,0.21000000000000008,2.7300000000000004,-0.026167673180486906
7,Cody Gakpo,-0.00016190288673575092,15,7,0.17733333333333334,2.66,0.4666666666666667,0.28933333333333333,4.34,-0.0024285433010362636
9,Alexis Mac Allister,-0.0004967743291769225,12,4,0.13499999999999998,1.6199999999999999,0.3333333333333333,0.19833333333333333,2.38,-0.005961291950123071
11,Dominik Szoboszlai,0.0026174643846396434,18,5,0.20555555555555557,3.7,0.2777777777777778,0.07222222222222222,1.2999999999999998,0.04711435892351358
14,Trent Alexander-Arnold,0.0009533972461477765,14,4,0.05714285714285714,0.7999999999999999,0.2857142857142857,0.22857142857142856,3.2,0.01334756144606887
15,Gabriel Martinelli,-0.018308657453773122,16,6,0.20875,3.34,0.375,0.16625,2.66,-0.29293851926036996
16,Kai Havertz,-0.00056909404808543,20,9,0.286,5.72,0.45,0.16400000000000003,3.2800000000000002,-0.011381880961708599
17,Leandro Trossard,0.004374203705814411,17,5,0.16999999999999998,2.8899999999999997,0.29411764705882354,0.12411764705882355,2.1100000000000003,0.074361462998845
21,Bukayo Saka,0.005302283946365651,18,5,0.1322222222222222,2.38,0.2777777777777778,0.14555555555555558,2.62,0.09544111103458172
23,Riccardo Calafiori,-0.0010278318443960553,18,6,0.105,1.89,0.3333333333333333,0.22833333333333333,4.11,-0.018500973199128995
25,Mikel Merino,-0.008418958934462189,13,6,0.1992307692307692,2.59,0.46153846153846156,0.26230769230769235,3.41,-0.10944646614800846
27,Morgan Gibbs-White,-0.004704546882113898,18,5,0.11166666666666665,2.01,0.2777777777777778,0.16611111111111115,2.99,-0.08468184387805017
28,Anthony Elanga,0.006160487378775952,60,20,0.15466666666666667,9.280000000000001,0.3333333333333333,0.17866666666666664,10.719999999999999,0.3696292427265571
30,Ryan Yates,0.009211292861269113,18,4,0.08777777777777779,1.5800000000000003,0.2222222222222222,0.13444444444444442,2.42,0.16580327150284402
31,Chris Wood,0.0022299296610512713,29,15,0.21034482758620687,6.1,0.5172413793103449,0.306896551724138,8.9,0.06466796017048687
32,Callum Hudson-Odoi,-0.001752793415761263,17,5,0.05647058823529412,0.9600000000000001,0.29411764705882354,0.23764705882352943,4.04,-0.02979748806794147
35,Jota Silva,0.013747596997657884,14,6,0.12714285714285714,1.78,0.42857142857142855,0.3014285714285714,4.22,0.19246635796721037
41,Joelinton,-0.0050599105722944895,14,4,0.11857142857142858,1.6600000000000001,0.2857142857142857,0.16714285714285712,2.34,-0.07083874801212285
42,Bruno Guimaraes,0.00192132889992951,30,12,0.227,6.8100000000000005,0.4,0.17300000000000001,5.1899999999999995,0.0576398669978853
44,Jacob Murphy,-0.0036151333339012573,14,7,0.24500000000000002,3.43,0.5,0.255,3.57,-0.0506118666746176
49,Alexander Isak,0.0001738054223609382,170,90,0.32323529411764707,54.95,0.5294117647058824,0.2061764705882353,35.05,0.029546921801359496
50,Harvey Barnes,-0.003198594104432298,15,8,0.22266666666666668,3.3400000000000003,0.5333333333333333,0.31066666666666665,4.66,-0.04797891156648447
59,Kevin De Bruyne,0.008659091284786561,13,3,0.12153846153846157,1.5800000000000003,0.23076923076923078,0.10923076923076921,1.4199999999999997,0.11256818670222529
60,Omar Marmoush,-0.003991670924605,14,6,0.17500000000000002,2.45,0.42857142857142855,0.25357142857142856,3.55,-0.055883392944470006
61,Josko Gvardiol,0.0028188422071163425,11,5,0.11999999999999998,1.3199999999999998,0.45454545454545453,0.33454545454545453,3.68,0.031007264278279767
63,Christopher Nkunku,0.004000055119700643,72,18,0.30416666666666664,21.9,0.25,-0.05416666666666664,-3.8999999999999986,0.2880039686184463
64,Nicolas Jackson,-0.0015844094346124746,32,9,0.2378125,7.61,0.28125,0.04343749999999999,1.3899999999999997,-0.05070110190759919
65,Noni Madueke,-0.0030358541101650205,26,7,0.17000000000000004,4.420000000000001,0.2692307692307692,0.09923076923076918,2.579999999999999,-0.07893220686429053
67,Cole Palmer,0.0006026468890071976,40,10,0.162,6.48,0.25,0.088,3.5199999999999996,0.024105875560287905
74,Pedro Neto,0.011343330436903644,12,3,0.06416666666666669,0.7700000000000002,0.25,0.1858333333333333,2.2299999999999995,0.13611996524284373
83,Ollie Watkins,0.0015021440428764081,33,12,0.23484848484848486,7.750000000000001,0.36363636363636365,0.12878787878787878,4.249999999999999,0.04957075341492147
