Unnamed: 0,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
2,Andrew Robertson,0.135,0.028,0.2238,0.05,0.0967,22.0,19.0,18.0,13.0,12.0,84.0
3,Mohamed Salah,0.1471,0.168,0.1522,0.1616,0.1417,129.0,120.0,133.0,121.0,107.0,610.0
5,Virgil van Dijk,0.0771,-0.02,0.0914,0.1367,0.0936,31.0,4.0,35.0,30.0,45.0,145.0
12,Trent Alexander-Arnold,0.2015,0.16,0.082,0.1925,0.1625,44.0,55.0,51.0,40.0,47.0,237.0
17,Gabriel Jesus,0.1213,0.1931,0.0785,0.1028,0.0932,100.0,55.0,63.0,76.0,55.0,349.0
18,Kyle Walker,0.13,0.1667,0.18,0.03,0.0433,14.0,10.0,8.0,5.0,16.0,53.0
20,Kevin De Bruyne,0.1707,0.1062,0.1568,0.1357,0.1824,97.0,77.0,78.0,65.0,44.0,361.0
21,Raheem Sterling,0.1714,0.1332,0.08,0.26,0.219,97.0,69.0,54.0,42.0,51.0,313.0
22,Oleksandr Zinchenko,0.0367,0.095,0.1625,0.1886,0.1367,16.0,16.0,12.0,28.0,17.0,89.0
23,Issa Diop,0.035,0.42,0.025,0.21,0.24,15.0,3.0,2.0,3.0,5.0,28.0
34,Nathan Aké,0.1514,0.11,0.095,-0.13,0.304,25.0,3.0,5.0,9.0,20.0,62.0
35,Callum Wilson,0.1624,0.1306,0.0967,0.1323,0.0944,55.0,45.0,33.0,70.0,33.0,236.0
52,Craig Dawson,0.04,0.03,0.162,0.0,0.162,26.0,16.0,25.0,17.0,16.0,100.0
53,Neal Maupay,0.1092,0.1209,0.1107,0.0992,0.2544,94.0,67.0,59.0,32.0,42.0,294.0
55,Richarlison,0.1397,0.1048,0.1075,-0.0079,0.1308,90.0,80.0,69.0,27.0,62.0,328.0
59,Dominic Calvert-Lewin,0.135,0.0852,0.1645,0.1756,0.0382,85.0,83.0,30.0,30.0,71.0,299.0
61,Jordan Ayew,0.1383,0.05,0.1925,0.125,0.0968,58.0,26.0,35.0,32.0,48.0,199.0
65,James Ward-Prowse,0.1404,0.212,0.2405,0.1081,0.1775,54.0,39.0,51.0,40.0,42.0,226.0
71,Chris Wood,0.175,0.1014,0.1141,0.1675,0.1231,64.0,68.0,50.0,11.0,48.0,241.0
72,James Tarkowski,0.048,0.114,0.1033,0.0111,0.1325,21.0,22.0,22.0,32.0,25.0,122.0
77,John McGinn,0.1005,0.0727,0.1675,0.0709,0.1943,55.0,45.0,43.0,42.0,40.0,225.0
