,squad_links
0,https://www.fotmob.com/en-GB/teams/8650/squad/liverpool
1,https://www.fotmob.com/en-GB/teams/9825/squad/arsenal
2,https://www.fotmob.com/en-GB/teams/10203/squad/nottingham-forest
3,https://www.fotmob.com/en-GB/teams/10261/squad/newcastle-united
4,https://www.fotmob.com/en-GB/teams/8456/squad/manchester-city
5,https://www.fotmob.com/en-GB/teams/8455/squad/chelsea
6,https://www.fotmob.com/en-GB/teams/10252/squad/aston-villa
7,https://www.fotmob.com/en-GB/teams/8678/squad/afc-bournemouth
8,https://www.fotmob.com/en-GB/teams/9879/squad/fulham
9,https://www.fotmob.com/en-GB/teams/10204/squad/brighton-hove-albion
10,https://www.fotmob.com/en-GB/teams/9937/squad/brentford
11,https://www.fotmob.com/en-GB/teams/9826/squad/crystal-palace
12,https://www.fotmob.com/en-GB/teams/8668/squad/everton
13,https://www.fotmob.com/en-GB/teams/10260/squad/manchester-united
14,https://www.fotmob.com/en-GB/teams/8586/squad/tottenham-hotspur
15,https://www.fotmob.com/en-GB/teams/8602/squad/wolverhampton-wanderers
16,https://www.fotmob.com/en-GB/teams/8654/squad/west-ham-united
17,https://www.fotmob.com/en-GB/teams/9902/squad/ipswich-town
18,https://www.fotmob.com/en-GB/teams/8197/squad/leicester-city
19,https://www.fotmob.com/en-GB/teams/8466/squad/southampton
