,player_links
0,https://www.fotmob.com/en-GB/players/933768/curtis-jones
1,https://www.fotmob.com/en-GB/players/1107620/jarell-quansah
2,https://www.fotmob.com/en-GB/players/202643/wataru-endo
3,https://www.fotmob.com/en-GB/players/860914/luis-diaz
4,https://www.fotmob.com/en-GB/players/292462/mohamed-salah
5,https://www.fotmob.com/en-GB/players/1113724/tyler-morton
6,https://www.fotmob.com/en-GB/players/671529/konstantinos-tsimikas
7,https://www.fotmob.com/en-GB/players/950561/darwin-nunez
8,https://www.fotmob.com/en-GB/players/26630/arne-slot
9,https://www.fotmob.com/en-GB/players/568571/joseph-gomez
10,https://www.fotmob.com/en-GB/players/1068920/vitezslav-jaros
11,https://www.fotmob.com/en-GB/players/570461/diogo-jota
12,https://www.fotmob.com/en-GB/players/209405/virgil-van-dijk
13,https://www.fotmob.com/en-GB/players/956683/ryan-gravenberch
14,https://www.fotmob.com/en-GB/players/806552/cody-gakpo
15,https://www.fotmob.com/en-GB/players/784510/federico-chiesa
16,https://www.fotmob.com/en-GB/players/776689/caoimhin-kelleher
17,https://www.fotmob.com/en-GB/players/831489/alexis-mac-allister
18,https://www.fotmob.com/en-GB/players/1113690/conor-bradley
19,https://www.fotmob.com/en-GB/players/1236818/harvey-davies
20,https://www.fotmob.com/en-GB/players/846005/dominik-szoboszlai
21,https://www.fotmob.com/en-GB/players/963964/harvey-elliott
22,https://www.fotmob.com/en-GB/players/357880/andrew-robertson
23,https://www.fotmob.com/en-GB/players/760712/trent-alexander-arnold
24,https://www.fotmob.com/en-GB/players/319784/alisson-becker
25,https://www.fotmob.com/en-GB/players/820140/ibrahima-konate
26,https://www.fotmob.com/en-GB/players/1021586/gabriel-martinelli
27,https://www.fotmob.com/en-GB/players/623621/oleksandr-zinchenko
28,https://www.fotmob.com/en-GB/players/1243239/tommy-setford
29,https://www.fotmob.com/en-GB/players/749736/kai-havertz
30,https://www.fotmob.com/en-GB/players/318615/leandro-trossard
31,https://www.fotmob.com/en-GB/players/534670/martin-odegaard
32,https://www.fotmob.com/en-GB/players/1406436/myles-lewis-skelly
33,https://www.fotmob.com/en-GB/players/282775/jorginho
34,https://www.fotmob.com/en-GB/players/582499/kieran-tierney
35,https://www.fotmob.com/en-GB/players/576165/gabriel-jesus
36,https://www.fotmob.com/en-GB/players/1021834/jakub-kiwior
37,https://www.fotmob.com/en-GB/players/562727/david-raya
38,https://www.fotmob.com/en-GB/players/654096/declan-rice
39,https://www.fotmob.com/en-GB/players/795179/gabriel
40,https://www.fotmob.com/en-GB/players/942381/jurrien-timber
41,https://www.fotmob.com/en-GB/players/776151/ben-white
42,https://www.fotmob.com/en-GB/players/246575/raheem-sterling
43,https://www.fotmob.com/en-GB/players/961995/bukayo-saka
44,https://www.fotmob.com/en-GB/players/664444/takehiro-tomiyasu
45,https://www.fotmob.com/en-GB/players/434325/thomas-partey
46,https://www.fotmob.com/en-GB/players/1105912/riccardo-calafiori
47,https://www.fotmob.com/en-GB/players/24011/mikel-arteta
48,https://www.fotmob.com/en-GB/players/176186/neto
49,https://www.fotmob.com/en-GB/players/955406/william-saliba
50,https://www.fotmob.com/en-GB/players/574645/mikel-merino
51,https://www.fotmob.com/en-GB/players/1254234/ethan-nwaneri
52,https://www.fotmob.com/en-GB/players/827315/nicolas-dominguez
53,https://www.fotmob.com/en-GB/players/789502/morgan-gibbs-white
54,https://www.fotmob.com/en-GB/players/1050166/anthony-elanga
55,https://www.fotmob.com/en-GB/players/1487909/eric-da-silva-moreira
56,https://www.fotmob.com/en-GB/players/181069/matz-sels
57,https://www.fotmob.com/en-GB/players/36283/wayne-hennessey
58,https://www.fotmob.com/en-GB/players/1132960/ramon-sosa
59,https://www.fotmob.com/en-GB/players/775614/ryan-yates
60,https://www.fotmob.com/en-GB/players/1043826/carlos-miguel
61,https://www.fotmob.com/en-GB/players/795371/ibrahim-sangare
62,https://www.fotmob.com/en-GB/players/169719/chris-wood
63,https://www.fotmob.com/en-GB/players/846383/callum-hudson-odoi
64,https://www.fotmob.com/en-GB/players/1089691/elliot-anderson
65,https://www.fotmob.com/en-GB/players/643717/taiwo-awoniyi
66,https://www.fotmob.com/en-GB/players/575804/harry-toffolo
67,https://www.fotmob.com/en-GB/players/1181700/danilo
