,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
0,2,Kieran Tierney,Arsenal,0.02,0.02,Saved,33.0,Left Foot,,Nicolas Pépé,Pass (Live),Granit Xhaka,Pass (Live)
1,11,Frank Onyeka,Brentford,0.08,,Off Target,10.0,Head,,Bryan Mbeumo,Pass (Live),Rico Henry,Pass (Live)
2,12,Bryan Mbeumo,Brentford,0.09,,Woodwork,14.0,Right Foot,,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live)
3,16,Calum Chambers,Arsenal,0.04,,Off Target,19.0,Right Foot,Volley,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
4,22,Sergi Canós,Brentford,0.02,0.08,Goal,17.0,Right Foot,,Ethan Pinnock,Pass (Live),,
5,28,Sergi Canós,Brentford,0.06,,Off Target,22.0,Right Foot,,Frank Onyeka,Pass (Live),Sergi Canós,Pass (Live)
6,30,Bryan Mbeumo,Brentford,0.26,,Off Target,13.0,Right Foot,,Bryan Mbeumo,Take-On,Kristoffer Ajer,Pass (Live)
7,31,Folarin Balogun,Arsenal,0.12,,Off Target,10.0,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
8,33,Nicolas Pépé,Arsenal,0.03,,Off Target,22.0,Left Foot,,Gabriel Martinelli,Pass (Live),Pablo Marí,Pass (Live)
9,38,Folarin Balogun,Arsenal,0.03,,Off Target,23.0,Right Foot,,Kieran Tierney,Pass (Dead),,
10,42,Folarin Balogun,Arsenal,0.07,,Off Target,11.0,Head,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
11,45+1,Nicolas Pépé,Arsenal,0.04,,Blocked,16.0,Left Foot,,Gabriel Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live)
12,,,,,,,,,,,,,
13,51,Emile Smith Rowe,Arsenal,0.07,0.03,Saved,17.0,Right Foot,Deflected,Kieran Tierney,Pass (Live),Ben White,Interception
14,60,Albert Sambi Lokonga,Arsenal,0.02,0.06,Saved,29.0,Left Foot,,Nicolas Pépé,Pass (Live),Albert Sambi Lokonga,Pass (Live)
15,64,Kieran Tierney,Arsenal,0.04,,Blocked,17.0,Right Foot,,Albert Sambi Lokonga,Pass (Live),Nicolas Pépé,Pass (Live)
16,65,Gabriel Martinelli,Arsenal,0.2,,Off Target,4.0,Head,,Nicolas Pépé,Pass (Dead),Kieran Tierney,Shot
17,66,Sergi Canós,Brentford,0.06,0.05,Saved,15.0,Right Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live)
18,67,Calum Chambers,Arsenal,0.03,,Blocked,22.0,Right Foot,,Granit Xhaka,Pass (Live),Kieran Tierney,Pass (Live)
