,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
0,Marco Stiepermann,0.01,,,,,19.0,,,,,
1,Teemu Pukki,0.1127,,0.1,,,78.0,,68.0,,,
2,Andrew Robertson,0.135,0.028,0.2238,0.05,0.0967,22.0,19.0,18.0,13.0,12.0,84.0
3,Mohamed Salah,0.1471,0.168,0.1522,0.1616,0.1417,129.0,120.0,133.0,121.0,107.0,610.0
4,Emi Buendía,0.1273,,0.1538,0.1173,,40.0,,44.0,49.0,,
5,Virgil van Dijk,0.0771,-0.02,0.0914,0.1367,0.0936,31.0,4.0,35.0,30.0,45.0,145.0
6,Roberto Firmino,0.1484,0.1041,0.0518,0.1724,,99.0,83.0,30.0,39.0,,
7,Tom Trybull,0.085,,,,,11.0,,,,,
8,Divock Origi,0.1567,0.085,0.172,,0.2,14.0,7.0,10.0,,14.0,
9,Jordan Henderson,0.165,0.2175,0.12,0.032,,20.0,14.0,31.0,23.0,,
10,Fabinho,0.15,0.0,0.1857,0.1675,,12.0,10.0,19.0,18.0,,
11,Moritz Leitner,,,,,,8.0,,,,,
12,Trent Alexander-Arnold,0.2015,0.16,0.082,0.1925,0.1625,44.0,55.0,51.0,40.0,47.0,237.0
13,Ben Godfrey,0.015,0.02,0.0967,,0.0333,15.0,14.0,18.0,6.0,15.0,68.0
14,Onel Hernández,0.045,,,,,29.0,,,,,
15,Riyad Mahrez,0.1463,0.1882,0.1328,0.0933,,73.0,58.0,56.0,42.0,,
16,David Silva,0.1006,,,,,47.0,,,,,
17,Gabriel Jesus,0.1213,0.1931,0.0785,0.1028,0.0932,100.0,55.0,63.0,76.0,55.0,349.0
18,Kyle Walker,0.13,0.1667,0.18,0.03,0.0433,14.0,10.0,8.0,5.0,16.0,53.0
19,Sébastien Haller,0.1085,0.1218,,,,56.0,25.0,,,,
20,Kevin De Bruyne,0.1707,0.1062,0.1568,0.1357,0.1824,97.0,77.0,78.0,65.0,44.0,361.0
21,Raheem Sterling,0.1714,0.1332,0.08,0.26,0.219,97.0,69.0,54.0,42.0,51.0,313.0
22,Oleksandr Zinchenko,0.0367,0.095,0.1625,0.1886,0.1367,16.0,16.0,12.0,28.0,17.0,89.0
23,Issa Diop,0.035,0.42,0.025,0.21,0.24,15.0,3.0,2.0,3.0,5.0,28.0
24,Javier Hernández,0.24,,,,,3.0,,,,,
25,Manuel Lanzini,0.0786,0.1667,0.155,0.13,,23.0,12.0,13.0,3.0,,
26,David McGoldrick,0.034,0.1335,,,,46.0,71.0,,,,
27,Jefferson Lerma,0.2,,,0.126,0.0833,30.0,,,35.0,34.0,
28,Callum Robinson,0.1775,0.1145,,,,12.0,31.0,,,,
29,Philip Billing,0.06,,,0.1128,0.1812,33.0,,,38.0,30.0,
30,John Lundstram,0.252,0.085,,,,43.0,19.0,,,,
31,Chris Mepham,0.1,,,0.0975,0.06,7.0,,,8.0,1.0,
32,George Baldock,0.22,0.13,,,,13.0,13.0,,,1.0,
33,Joshua King,0.025,-0.04,0.1319,,,23.0,3.0,49.0,,,
34,Nathan Aké,0.1514,0.11,0.095,-0.13,0.304,25.0,3.0,5.0,9.0,20.0,62.0
35,Callum Wilson,0.1624,0.1306,0.0967,0.1323,0.0944,55.0,45.0,33.0,70.0,33.0,236.0
36,Steve Cook,0.17,,,,,11.0,,,3.0,,
37,Diego Rico,0.1033,,,,,11.0,,,,,
38,Oliver McBurnie,0.0854,0.0417,,,0.0667,50.0,30.0,,,31.0,
39,Billy Sharp,0.2471,0.105,,,,16.0,7.0,,,,
40,Ryan Fraser,0.0373,0.115,0.1643,0.13,,27.0,13.0,24.0,6.0,,
41,Gerard Deulofeu,0.0885,,,,,63.0,,,,,
